Order1	OTU_names	Sgenus	Good_ClassComp	Good_Class	Genus
1	1201cef3fc1ad97a0abd21423644d0f6	Prevotella	Prevotella_timonensis	Prevotella_timonensis	Prevotella
2	38d2e7bb1e20cdb22cb2e35430e45dac	Prevotella	Prevotella_timonensis	Prevotella_timonensis	Prevotella
3	09de5b64c2bf71799115dd50975534ca	Prevotella	Prevotella_timonensis	Prevotella_timonensis	Prevotella
4	76a9e8dc662c6cf781e4cfa2803853c1	Prevotella	Prevotella_timonensis	Prevotella_timonensis	Prevotella
5	37d2199bbde79875b3242ddb1f6449f7	Prevotella	Prevotella_buccalis	Prevotella_buccalis	Prevotella
6	c0e6c2df00fe7ac6043af711c8651e15	Prevotella	Prevotella_buccalis	Prevotella_buccalis	Prevotella
7	8071af7cc12f37d0f0afce2b946086e3	Prevotella	Prevotella_buccalis	Prevotella_buccalis	Prevotella
8	6bf6e8d91cb24b5b4009182dd7fc2eac	Prevotella	Prevotella_denticola	Prevotella_denticola	Prevotella
9	f4ca36d28652ac8b81878bfb17601e31	Prevotella	Prevotella_melaninogenica	Prevotella_melaninogenica	Prevotella
10	941d2427a49d2f57f1f09a4db5c388d4	Prevotella	Prevotella_melaninogenica	Prevotella_melaninogenica	Prevotella
11	b2911084af0359aeb52e348bec2ec00d	Prevotella	Prevotella_melaninogenica	Prevotella_melaninogenica	Prevotella
12	cf4ac4dab7323c92a525d3c8a4c88100	Prevotella	Prevotella_melaninogenica	Prevotella_melaninogenica	Prevotella
13	cda24f60c6b51a1fe85b5f2bee17752d	Prevotella	Prevotella_amnii	Prevotella_amnii	Prevotella
14	299aa1726899052fb0cb4f2773dc3c98	Prevotella	Prevotella_amnii	Prevotella_amnii	Prevotella
15	d4acea6ccef34afcca0fc40e6df90370	Prevotella	Prevotella_amnii	Prevotella_amnii	Prevotella
16	b5333a9e52c82dccf4ce162d40f3add0	Prevotella	Prevotella_bivia	Prevotella_bivia	Prevotella
17	ee0ddbc4fa163ec536ea9d64eef56dc6	Prevotella	Prevotella_bivia	Prevotella_bivia	Prevotella
18	2a7dd3cf4421c13b416e8d4a40ca8eef	Prevotella	Prevotella_bivia	Prevotella_bivia	Prevotella
19	d4da87e4e6b05edf9642cb3207af04ca	Prevotella	Prevotella_corporis	Prevotella_corporis	Prevotella
20	e8555743a0e7e9c2ea9a3619f68e770a	Prevotella	Prevotella_corporis	Prevotella_corporis	Prevotella
21	612cd0562e6a9b1b08cfa9980ae416c4	Prevotella	Prevotella_disiens	Prevotella_disiens	Prevotella
22	87aa8cd3475c8e4072680eb481e1c6a6	Prevotella	Prevotella_colorans	Prevotella_colorans	Prevotella
23	e644f466cf38cf4cddda053d8e44e2e5	Prevotella	Prevotella_colorans	Prevotella_colorans	Prevotella
24	fe1e86c758c30021fe1038f3f52bc5c8	Prevotella	Prevotella_colorans	Prevotella_colorans	Prevotella
25	c572290114dd0b8aa6fb62142d527049	Prevotella	Prevotella_colorans	Prevotella_colorans	Prevotella
26	71eb382e51e6c4d73c3a0fa4481953c8	Porphyromonas	Porphyromonas_bennonis	Porphyromonas_bennonis	Porphyromonas
27	cdb499d9567f24d28f6c946151749e17	Porphyromonas	Porphyromonas_somerae	Porphyromonas_somerae	Porphyromonas
28	8dc04581f85441d5b05904fd6ae58cfe	Porphyromonas	Porphyromonas_uenonis	Porphyromonas_uenonis	Porphyromonas
29	eabb4d3aef61bdee5919c45fb8edf677	Porphyromonas	Porphyromonas_uenonis	Porphyromonas_uenonis	Porphyromonas
30	454b8b15ac0fc87d06a39afabcd32bb9	Porphyromonas	Porphyromonas_asaccharolytica	Porphyromonas_asaccharolytica	Porphyromonas
31	acd92de3ce6817af98a842705ddcf140	Shuttleworthia	Shuttleworthia	Shuttleworthia	Shuttleworthia
32	a70d895cc71282e11dc3c0bd32d7a014	Howardella	Howardella	Howardella	Howardella
33	385a3224d6f28fc7c5422b4eee0b678e	Howardella	Howardella	Howardella	Howardella
34	b54a9f03dba55f7ce54fd3120e005335	Anaerococcus	Anaerococcus_murdochii_or_Anaerococcus_mediterraneensis	Anaerococcus_murdochii*	Anaerococcus
35	ccd5f1026c6a1b776c941b3f21c067d6	Anaerococcus	Anaerococcus_tetradius_or_Anaerococcus_prevotii	Anaerococcus_prevotii*	Anaerococcus
36	2bdb1f6ba9d787884b5a5e6028b666f1	Anaerococcus	Anaerococcus_prevotii_or_Anaerococcus_tetradius	Anaerococcus_prevotii*	Anaerococcus
37	9ad3743f483c26d06fff3b7bb40799de	Anaerococcus	Anaerococcus_lactolyticus	Anaerococcus_lactolyticus	Anaerococcus
38	2bd542c1ea898bf4569cf01e28ed238d	Anaerococcus	Anaerococcus_obesiensis	Anaerococcus_obesiensis	Anaerococcus
39	d313a9b0589016faf53e3ee9a504dc91	Anaerococcus	Anaerococcus_hydrogenalis	Anaerococcus_hydrogenalis	Anaerococcus
40	0285f52ddc1b9cb7c53c13bf21b6854c	Finegoldia	Finegoldia_magna	Finegoldia_magna	Finegoldia
41	5b2fa3e5f84ba75d0b6c68419f9cf705	Parvimonas	Parvimonas_micra	Parvimonas_micra	Parvimonas
42	8fc18eda6348bbf29fdac77b9dd85f03	Finegoldia	Finegoldia_magna	Finegoldia_magna	Finegoldia
43	d5b1a1a540ccd8c0bcbc3c1e5cf304bb	Peptoniphilus	Peptoniphilus_coxii	Peptoniphilus_coxii	Peptoniphilus
44	db26bf48bce775bf2ac2954f5dcbe0c6	Peptoniphilus	Peptoniphilus_lacrimalis	Peptoniphilus_lacrimalis	Peptoniphilus
45	52767d89178c0b72f2bec65158231a6f	Peptoniphilus	Peptoniphilus_asaccharolyticus	Peptoniphilus_grossensis_or_Peptoniphilus harei*	Peptoniphilus
46	1c15a57c49a1a5dfc212f9580fb1d349	Peptoniphilus	Peptoniphilus_gorbachii_Peptoniphilus_tyrrelliae_or_Peptoniphilus_lacydonensis	Peptoniphilus_lacydonensis*	Peptoniphilus
47	9efe42722388933d565b7edb5aa3353e	Peptoniphilus	Peptoniphilus_duerdenii	Peptoniphilus_duerdenii	Peptoniphilus
48	3a85baf55d15b1c48ad4aa02fb8f3729	Finegoldia	Finegoldia	Finegoldia	Finegoldia
49	de8e3231b4d43beece223c619efeb686	Fastidiosipila	Fastidiosipila	Fastidiosipila	Fastidiosipila
50	7c942fbcc204080381806f4cc91f41f2	Clostridium_sensu_stricto_1	Enterococcus_faecalis	Enterococcus_faecalis	Enterococcus
51	9df9743e450924380cd7a4d3cd9c8a59	Clostridium_sensu_stricto_1	Enterococcus_faecalis	Enterococcus_faecalis	Enterococcus
52	98fcf59486d130abe9a9055704400056	Clostridium_sensu_stricto_1	Clostridium_perfringens	Clostridium_perfringens	Clostridium_sensu_stricto_1
53	74e199b646d027c0f596fade99adbe68	Clostridium_sensu_stricto_1	Clostridium_colicanis	Clostridium_colicanis	Clostridium_sensu_stricto_1
54	7e97de67dc4b842b15917ae144b270d0	Megasphaera	Megasphaera	Megasphaera	Megasphaera
55	444abc41c0494c6a73eec130aaaec9ca	Veillonella	Veillonella_montpellierensis	Veillonella_montpellierensis	Veillonella
