SampleID	Sample_Type	Sample_Name	Merging	SeqRun	Extracted_by
V2804	Vagina	NSW-SYD-RHW-072	NSW-SYD-RHW-072	17	NS
V2805	Vagina	NSW-SYD-CHW-076	NSW-SYD-CHW-076	17	NS
V2806	Vagina	NSW-SYD-CHW-098	NSW-SYD-CHW-098	17	NS
V2807	Vagina	NSW-SYD-RHW-078	NSW-SYD-RHW-078	17	NS
V2808	Vagina	NSW-SYD-STG-031	NSW-SYD-STG-031	17	NS
V2809	Vagina	NSW-SYD-STG-029	NSW-SYD-STG-029	17	NS
V2810	Vagina	QLD-BRI-MATER-001	QLD-BRI-MATER-001	17	NS
V2896	Vagina	QLD-BRI-MATER-172	QLD-BRI-MATER-172	17	EB
V2897	Vagina	QLD-BRI-MATER-175	QLD-BRI-MATER-175	17	EB
V2898	Vagina	QLD-BRI-MATER-183	QLD-BRI-MATER-183	17	EB
V2899	Vagina	QLD-BRI-MATER-181	QLD-BRI-MATER-181	17	KN
V2900	Vagina	SA-ADEL-REG-066	SA-ADEL-REG-066	17	KN
V2901	Vagina	SA-ADEL-WCH-118	SA-ADEL-WCH-118	17	KN
V2902	Vagina	SA-ADEL-REG-037	SA-ADEL-REG-037	17	KN
V2903	Vagina	SA-ADEL-REG-078	SA-ADEL-REG-078	17	KN
V2803	Vagina	NSW-SYD-RHW-074	NSW-SYD-RHW-074	17	NS
V2876	Vagina	VIC-MEL-RMH-046	VIC-MEL-RMH-046	17	EB
V2877	Vagina	VIC-MEL-RMH-032	VIC-MEL-RMH-032	17	EB
V2878	Vagina	VIC-MEL-RMH-012	VIC-MEL-RMH-012	17	EB
V2879	Vagina	VIC-MEL-RMH-072	VIC-MEL-RMH-072	17	EB
V2880	Vagina	VIC-MEL-RMH-122	VIC-MEL-RMH-122	17	EB
V2881	Vagina	VIC-MEL-RMH-113	VIC-MEL-RMH-113	17	EB
V2882	Vagina	VIC-MEL-RMH-108	VIC-MEL-RMH-108	17	EB
V2968	Vagina	WA-PER-PMH-062	WA-PER-PMH-062	17	NS
V2969	Vagina	WA-PER-PMH-073	WA-PER-PMH-073	17	NS
V2970	Vagina	WA-PER-PMH-067	WA-PER-PMH-067	17	NS
V2971	Vagina	WA-PER-PMH-095	WA-PER-PMH-095	17	NS
